package_id,courier_id,city,zone_id,task_type,origin_lat,origin_lng,destination_lat,destination_lng,assigned_time,accepted_time,pickup_time,completed_time,promised_delivery_time,courier_workload_2h,scenario_source,acceptance_gap_minutes,pickup_gap_minutes,execution_time_minutes,delay_minutes,is_delayed,delay_category,event_sequence_abnormality_score,time_window_violation_score,workload_pressure_score,distance_km,expected_execution_time_minutes,distance_adjusted_execution_ratio,route_execution_instability_score,operational_exception_severity,severity_class,root_cause_label
PKG-100012,CR-102,Dallas,Z1,delivery,32.741256362234324,-96.79933368013592,32.782977429023155,-96.76126358945905,2026-01-29 17:36:00,2026-01-29 20:31:00,2026-01-29 21:11:00,2026-01-29 23:23:00,2026-01-29 20:00:00,6,acceptance_delay,175.0,40.0,132.0,203.0,True,Moderate Delay,0.0,0.8458333333333333,0.3,5.847572274944348,14.034173459866436,9.405612690870663,1.0,0.5538194444444444,High,Courier acceptance delay
PKG-100013,CR-106,Atlanta,Z3,pickup,33.73477636416796,-84.32978612026086,33.67766738995715,-84.36344712187748,2026-01-21 09:03:00,2026-01-21 09:18:00,2026-01-21 09:48:00,2026-01-21 10:46:00,2026-01-21 13:06:00,3,normal,15.0,30.0,58.0,0.0,False,On Time,0.0,0.0,0.15,7.0725289037231205,16.97406936893549,3.4169767272276332,1.0,0.1225,Low,Route execution instability
PKG-100014,CR-112,Newark,Z4,delivery,40.723201062373505,-74.20783277685328,40.69566903166114,-74.10467750411583,2026-01-15 16:06:00,2026-01-15 16:28:00,2026-01-15 16:33:00,2026-01-15 17:29:00,2026-01-15 20:06:00,3,normal,22.0,5.0,56.0,0.0,False,On Time,0.0,0.0,0.15,9.218044476894955,22.12330674454789,2.531267167544958,1.0,0.1225,Low,Route execution instability
PKG-100015,CR-126,Atlanta,Z4,delivery,33.80734406304484,-84.32360914151832,33.695341939424246,-84.46765513946377,2026-01-13 12:59:00,2026-01-13 13:23:00,2026-01-13 13:51:00,2026-01-13 19:39:00,2026-01-13 17:08:00,9,execution_delay,24.0,28.0,348.0,151.0,True,Moderate Delay,0.0,0.6291666666666667,0.45,18.233538846839682,43.760493232415236,7.9523783736107845,1.0,0.4715972222222222,Medium,Route execution instability
PKG-100016,CR-135,Atlanta,Z2,delivery,33.71647325207913,-84.31300650160495,33.761668846530604,-84.38124876778012,2026-01-24 13:03:00,2026-01-24 13:23:00,2026-01-24 13:44:00,2026-01-24 15:36:00,2026-01-24 16:43:00,2,normal,20.0,21.0,112.0,0.0,False,On Time,0.0,0.0,0.1,8.066841331123989,19.360419194697574,5.784998706571113,1.0,0.115,Low,Route execution instability
PKG-100017,CR-132,Memphis,Z2,delivery,35.164705617032006,-90.02096599142335,35.10713262320015,-90.10981814176847,2026-01-29 17:15:00,2026-01-29 17:26:00,2026-01-29 19:16:00,2026-01-29 21:29:00,2026-01-29 21:09:00,8,pickup_delay,11.0,110.0,133.0,20.0,True,Slight Delay,0.0,0.08333333333333333,0.4,10.308471803907292,24.7403323293775,5.375837245406414,1.0,0.20027777777777778,Low,Pickup/task start delay
PKG-100018,CR-136,Newark,Z3,pickup,40.68838147190777,-74.1378093118737,40.693889752418535,-74.1890742645134,2026-01-22 18:19:00,2026-01-22 21:10:00,2026-01-22 21:24:00,2026-01-22 22:45:00,2026-01-22 21:17:00,6,acceptance_delay,171.0,14.0,81.0,88.0,True,Moderate Delay,0.0,0.36666666666666664,0.3,4.36542754352374,10.477026104456977,7.731201506269247,1.0,0.3222222222222222,Medium,Courier acceptance delay
PKG-100019,CR-104,Newark,Z2,pickup,40.67689305125864,-74.19655858640567,40.666706610249605,-74.2133144933587,2026-01-10 10:28:00,2026-01-10 11:48:00,2026-01-10 12:37:00,2026-01-10 17:32:00,2026-01-10 12:59:00,23,workload_pressure,80.0,49.0,295.0,273.0,True,Severe Delay,0.0,1.0,1.0,1.8110517179894683,4.346524123174723,67.8703238818172,1.0,0.7654166666666666,Critical,Courier acceptance delay
PKG-100020,CR-135,Dallas,Z1,delivery,32.73901454743794,-96.73464596687909,32.81548666943696,-96.852128334436,2026-01-10 17:13:00,2026-01-10 17:29:00,2026-01-10 18:19:00,2026-01-11 01:57:00,2026-01-10 20:26:00,8,execution_delay,16.0,50.0,458.0,331.0,True,Severe Delay,0.0,1.0,0.4,13.890413991672473,33.33699358001394,13.738491411972385,1.0,0.7318055555555555,High,Route execution instability
PKG-100021,CR-131,Dallas,Z1,delivery,32.79818551156947,-96.74430430570044,32.70375388188785,-96.82363095382318,2026-01-05 18:16:00,2026-01-05 18:35:00,2026-01-05 18:57:00,2026-01-05 21:12:00,2026-01-05 23:05:00,6,normal,19.0,22.0,135.0,0.0,False,On Time,0.0,0.0,0.3,12.85654066839882,30.855697604157164,4.3752049210454915,1.0,0.14500000000000002,Low,Route execution instability
PKG-100022,CR-100,Memphis,Z1,delivery,35.15679444627289,-89.99546479681824,35.16270153063837,-90.10530499430921,2026-01-05 08:19:00,2026-01-05 08:49:00,2026-01-05 08:55:00,2026-01-05 10:25:00,2026-01-05 12:12:00,7,normal,30.0,6.0,90.0,0.0,False,On Time,0.0,0.0,0.35,10.00686368849648,24.01647285239155,3.7474278822353315,1.0,0.1525,Low,Route execution instability
PKG-100023,CR-115,Memphis,Z3,pickup,35.22531392362197,-90.00908358221704,35.21762221161113,-90.09112202684331,2026-01-06 10:56:00,2026-01-06 11:06:00,2026-01-06 11:34:00,2026-01-06 13:01:00,2026-01-06 15:41:00,8,normal,10.0,28.0,87.0,0.0,False,On Time,0.0,0.0,0.4,7.501155122593927,18.002772294225423,4.832589035629038,1.0,0.16,Low,Route execution instability
PKG-100024,CR-115,Dallas,Z2,delivery,32.75790667561551,-96.87080406277347,32.772010403373756,-96.84506834719588,2026-01-30 15:22:00,2026-01-30 15:52:00,2026-01-30 16:04:00,2026-01-30 17:17:00,2026-01-30 18:28:00,7,normal,30.0,12.0,73.0,0.0,False,On Time,0.0,0.0,0.35,2.872301992429858,6.893524781831659,10.589647866704757,1.0,0.1525,Low,Route execution instability
PKG-100025,CR-112,Atlanta,Z3,pickup,33.80729647072485,-84.31329774335227,33.7136599988355,-84.36536292182278,2026-01-13 18:53:00,2026-01-13 20:11:00,2026-01-13 20:28:00,2026-01-13 22:21:00,2026-01-13 21:15:00,9,acceptance_delay,78.0,17.0,113.0,66.0,True,Moderate Delay,0.0,0.275,0.45,11.470556820340514,27.529336368817233,4.104712096438194,1.0,0.30041666666666667,Medium,Courier acceptance delay
PKG-100026,CR-102,Memphis,Z5,pickup,35.12480993786877,-90.00317149148742,35.1393230214193,-89.97152226410935,2026-01-04 14:57:00,2026-01-04 15:15:00,2026-01-04 16:56:00,2026-01-04 19:11:00,2026-01-04 17:27:00,8,pickup_delay,18.0,101.0,135.0,104.0,True,Moderate Delay,0.0,0.43333333333333335,0.4,3.2996824694906652,7.919237926777597,17.04709484021433,1.0,0.36944444444444446,Medium,Pickup/task start delay
PKG-100027,CR-134,Chicago,Z3,pickup,41.80929580978021,-87.6035219704142,41.85093200576682,-87.65957349679067,2026-01-28 09:46:00,2026-01-28 10:12:00,2026-01-28 10:31:00,,2026-01-28 13:08:00,8,event_inconsistency,26.0,19.0,,999.0,True,Severe Delay,1.0,1.0,0.4,6.557600757177438,15.738241817225852,1.0,0.5,0.8600000000000001,Critical,Event-data inconsistency
PKG-100028,CR-125,Dallas,Z5,delivery,32.727394414878425,-96.77061129052595,32.75736324433961,-96.75729847037458,2026-01-06 17:36:00,2026-01-06 17:58:00,2026-01-06 18:03:00,2026-01-06 19:26:00,2026-01-06 21:49:00,3,normal,22.0,5.0,83.0,0.0,False,On Time,0.0,0.0,0.15,3.5573967454550814,8.537752189092195,9.72152835567663,1.0,0.1225,Low,Route execution instability
PKG-100029,CR-127,Newark,Z5,pickup,40.73009811043952,-74.18165443211123,40.68989222415826,-74.1766902102545,2026-01-29 10:42:00,2026-01-29 11:03:00,2026-01-29 11:29:00,2026-01-29 13:35:00,2026-01-29 16:20:00,4,normal,21.0,26.0,126.0,0.0,False,On Time,0.0,0.0,0.2,4.490228646064986,10.776548750555966,11.692054934888093,1.0,0.13,Low,Route execution instability
PKG-100030,CR-105,Chicago,Z3,delivery,41.9271500631322,-87.68622336604068,41.80549419489485,-87.5523702363549,2026-01-20 09:29:00,2026-01-20 09:54:00,2026-01-20 10:17:00,2026-01-20 11:26:00,2026-01-20 15:27:00,5,normal,25.0,23.0,69.0,0.0,False,On Time,0.0,0.0,0.25,17.488536621684215,41.97248789204211,1.6439340021367246,0.8219670010683623,0.11969670010683622,Low,Route execution instability
PKG-100031,CR-131,Atlanta,Z2,delivery,33.77396928177789,-84.46711282909791,33.78915431625896,-84.34479260982816,2026-01-04 14:14:00,2026-01-04 14:41:00,2026-01-04 15:02:00,2026-01-04 16:46:00,2026-01-04 17:26:00,6,normal,27.0,21.0,104.0,0.0,False,On Time,0.0,0.0,0.3,11.43037628566514,27.432903085596337,3.7910679622750267,1.0,0.14500000000000002,Low,Route execution instability
PKG-100032,CR-115,Memphis,Z4,delivery,35.19772665627556,-90.02218756278619,35.22756279249064,-90.0337276290449,2026-01-31 15:39:00,2026-01-31 16:46:00,2026-01-31 17:43:00,2026-01-31 22:43:00,2026-01-31 19:06:00,15,workload_pressure,67.0,57.0,300.0,217.0,True,Moderate Delay,0.0,0.9041666666666667,0.75,3.4793360954025903,8.350406628966217,35.9263941661653,1.0,0.6495138888888888,High,Workload pressure
PKG-100033,CR-130,Atlanta,Z3,delivery,33.80337806205471,-84.42363018349909,33.793427973653436,-84.39046447726876,2026-01-08 12:28:00,2026-01-08 12:42:00,2026-01-08 12:54:00,2026-01-08 14:13:00,2026-01-08 16:53:00,4,normal,14.0,12.0,79.0,0.0,False,On Time,0.0,0.0,0.2,3.2582134103581373,7.8197121848595295,10.10267361923617,1.0,0.13,Low,Route execution instability
PKG-100034,CR-134,Memphis,Z2,delivery,35.106501836756514,-90.01796803003216,35.182527062671134,-90.11872338388578,2026-01-14 13:34:00,2026-01-14 14:56:00,2026-01-14 15:19:00,2026-01-14 17:32:00,2026-01-14 16:23:00,5,acceptance_delay,82.0,23.0,133.0,69.0,True,Moderate Delay,0.0,0.2875,0.25,12.465542784499846,29.91730268279963,4.445587939866844,1.0,0.27645833333333336,Medium,Courier acceptance delay
PKG-100035,CR-136,Atlanta,Z4,delivery,33.81983866518946,-84.42022197562042,33.7313978636902,-84.32533735328505,2026-01-27 14:34:00,2026-01-27 15:01:00,2026-01-27 15:49:00,2026-01-27 23:38:00,2026-01-27 17:42:00,7,execution_delay,27.0,48.0,469.0,356.0,True,Severe Delay,0.0,1.0,0.35,13.176605867992912,31.623854083182984,14.83057690458438,1.0,0.748611111111111,Critical,Route execution instability
PKG-100036,CR-114,Dallas,Z4,pickup,32.70134397119147,-96.82321927300825,32.80536270160454,-96.81230933293797,2026-01-06 15:58:00,2026-01-06 16:22:00,2026-01-06 16:44:00,2026-01-06 17:32:00,2026-01-06 20:38:00,6,normal,24.0,22.0,48.0,0.0,False,On Time,0.0,0.0,0.3,11.611265313980867,27.867036753554082,1.7224651628551146,0.8612325814275573,0.13112325814275572,Low,Route execution instability
PKG-100037,CR-136,Memphis,Z1,pickup,35.09121191795689,-90.05512824895176,35.077545541358184,-90.0683433817299,2026-01-07 15:20:00,2026-01-07 15:37:00,2026-01-07 15:50:00,2026-01-07 17:28:00,2026-01-07 19:24:00,8,normal,17.0,13.0,98.0,0.0,False,On Time,0.0,0.0,0.4,1.9378346022509676,4.650803045402323,21.07162979023172,1.0,0.16,Low,Route execution instability
PKG-100038,CR-105,Atlanta,Z1,delivery,33.82898525256147,-84.41200634500477,33.77302305491998,-84.34300271206226,2026-01-21 08:48:00,2026-01-21 09:00:00,2026-01-21 09:11:00,2026-01-21 09:58:00,2026-01-21 14:27:00,3,normal,12.0,11.0,47.0,0.0,False,On Time,0.0,0.0,0.15,8.909256385782681,21.382215325878434,2.1980884245944767,1.0,0.1225,Low,Route execution instability
PKG-100039,CR-115,Chicago,Z4,delivery,41.888335133108804,-87.67492567345496,41.910014395399386,-87.587096304263,2026-01-06 17:38:00,2026-01-06 19:59:00,2026-01-06 20:53:00,2026-01-07 04:16:00,2026-01-06 20:17:00,9,severe_time_window_violation,141.0,54.0,443.0,479.0,True,Severe Delay,0.0,1.0,0.45,7.658459480823157,18.380302753975577,24.10188808800666,1.0,0.7675,Critical,Courier acceptance delay
PKG-100040,CR-137,Memphis,Z3,pickup,35.13296471064266,-90.01459764719209,35.08165943645489,-90.01850169345073,2026-01-21 11:06:00,2026-01-21 11:25:00,2026-01-21 12:13:00,2026-01-21 19:39:00,2026-01-21 14:01:00,10,execution_delay,19.0,48.0,446.0,338.0,True,Severe Delay,0.0,1.0,0.5,5.7159292823957895,13.718230277749894,32.511482237135496,1.0,0.753611111111111,Critical,Route execution instability
PKG-100041,CR-136,Memphis,Z3,pickup,35.17534341450998,-90.11796692215687,35.17310692064909,-90.12697565597347,2026-01-14 15:06:00,2026-01-14 15:22:00,2026-01-14 15:47:00,2026-01-14 17:30:00,2026-01-14 18:45:00,5,normal,16.0,25.0,103.0,0.0,False,On Time,0.0,0.0,0.25,0.8557466820911687,2.053792037018805,50.15113416717221,1.0,0.1375,Low,Route execution instability
PKG-100042,CR-111,Newark,Z3,pickup,40.73007980346152,-74.12028246425268,40.7504959390502,-74.20083126672301,2026-01-08 09:17:00,2026-01-08 10:07:00,2026-01-08 11:25:00,2026-01-08 16:03:00,2026-01-08 12:59:00,22,workload_pressure,50.0,78.0,278.0,184.0,True,Moderate Delay,0.0,0.7666666666666667,1.0,7.155860070398936,17.174064168957447,16.187199329468676,1.0,0.6205555555555555,High,Workload pressure
PKG-100043,CR-124,Dallas,Z1,pickup,32.83285245380999,-96.84790562285477,32.73063917602876,-96.7493468229075,2026-01-11 12:56:00,2026-01-11 13:14:00,2026-01-11 14:46:00,2026-01-11 17:12:00,2026-01-11 15:50:00,4,pickup_delay,18.0,92.0,146.0,82.0,True,Moderate Delay,0.0,0.3416666666666667,0.2,14.631199243356225,35.11487818405494,4.157781759479265,1.0,0.2951388888888889,Medium,Pickup/task start delay
PKG-100044,CR-115,Atlanta,Z4,delivery,33.77949749431144,-84.36465553604145,33.74753141361258,-84.34113074109884,2026-01-03 12:14:00,2026-01-03 12:26:00,2026-01-03 12:40:00,2026-01-03 14:49:00,2026-01-03 17:42:00,4,normal,12.0,14.0,129.0,0.0,False,On Time,0.0,0.0,0.2,4.16693137374935,10.00063529699844,12.8991805189334,1.0,0.13,Low,Route execution instability
PKG-100045,CR-130,Newark,Z5,pickup,40.72378061003283,-74.13305033012581,40.70862660755135,-74.13994320925028,2026-01-09 12:16:00,2026-01-09 12:44:00,2026-01-09 12:55:00,2026-01-09 14:20:00,2026-01-09 15:46:00,7,normal,28.0,11.0,85.0,0.0,False,On Time,0.0,0.0,0.35,1.7823778183671914,4.277706764081259,19.870459731770747,1.0,0.1525,Low,Route execution instability
PKG-100046,CR-134,Chicago,Z2,delivery,41.916276744561436,-87.665560059685,41.89243390495373,-87.5881667367403,2026-01-20 12:06:00,2026-01-20 12:59:00,2026-01-20 13:43:00,2026-01-20 17:55:00,2026-01-20 14:58:00,17,workload_pressure,53.0,44.0,252.0,177.0,True,Moderate Delay,0.0,0.7375,0.85,6.931944238471395,16.63666617233135,15.147265527218693,1.0,0.5839583333333334,High,Workload pressure
PKG-100047,CR-100,Newark,Z2,pickup,40.66298251215731,-74.24367583676175,40.70244186312845,-74.10134566163268,2026-01-21 15:06:00,2026-01-21 16:17:00,2026-01-21 17:05:00,2026-01-21 21:45:00,2026-01-21 18:37:00,20,workload_pressure,71.0,48.0,280.0,188.0,True,Moderate Delay,0.0,0.7833333333333333,1.0,12.778543780598937,30.66850507343745,9.129887463687073,1.0,0.6286111111111111,High,Workload pressure
PKG-100048,CR-121,Chicago,Z1,pickup,41.9486701754829,-87.6333633300375,41.929638503247915,-87.64568680923969,2026-01-03 17:40:00,2026-01-03 17:54:00,2026-01-03 18:13:00,2026-01-04 01:40:00,2026-01-03 21:32:00,6,execution_delay,14.0,19.0,447.0,248.0,True,Severe Delay,0.0,1.0,0.3,2.348915547323156,5.637397313575574,79.29190992509376,1.0,0.6361111111111111,High,Route execution instability
PKG-100049,CR-105,Chicago,Z1,pickup,41.89511082419888,-87.58328146722505,41.83420994193041,-87.62618839437917,2026-01-15 15:19:00,2026-01-15 16:21:00,2026-01-15 17:10:00,2026-01-15 20:05:00,2026-01-15 19:07:00,24,workload_pressure,62.0,49.0,175.0,58.0,True,Slight Delay,0.0,0.24166666666666667,1.0,7.647399658207044,18.353759179696905,9.534831436253484,1.0,0.3668055555555555,Medium,Workload pressure
PKG-100050,CR-106,Chicago,Z2,pickup,41.90376850195073,-87.68467086505906,41.82591016773223,-87.69778962097581,2026-01-01 14:28:00,2026-01-01 14:53:00,2026-01-01 15:21:00,2026-01-01 19:29:00,2026-01-01 17:37:00,6,execution_delay,25.0,28.0,248.0,112.0,True,Moderate Delay,0.0,0.4666666666666667,0.3,8.725344427097982,20.940826625035157,11.842894477886144,1.0,0.3705555555555555,Medium,Route execution instability
PKG-100051,CR-118,Atlanta,Z1,delivery,33.81682576711721,-84.34194751573652,33.769009281146275,-84.36221071314347,2026-01-30 11:27:00,2026-01-30 11:39:00,2026-01-30 12:04:00,2026-01-30 13:08:00,2026-01-30 15:35:00,8,normal,12.0,25.0,64.0,0.0,False,On Time,0.0,0.0,0.4,5.637039947479923,13.528895873951814,4.730615165959252,1.0,0.16,Low,Route execution instability
PKG-100052,CR-109,Memphis,Z1,delivery,35.19632057059719,-90.0337929540289,35.2013784482112,-89.98160919536518,2026-01-15 09:29:00,2026-01-15 10:01:00,2026-01-15 10:36:00,2026-01-15 15:45:00,2026-01-15 13:13:00,8,execution_delay,32.0,35.0,309.0,152.0,True,Moderate Delay,0.0,0.6333333333333333,0.4,4.774844679905308,11.459627231772739,26.96422787150289,1.0,0.46611111111111114,Medium,Route execution instability
PKG-100053,CR-131,Atlanta,Z1,delivery,33.811307662286794,-84.35047457227431,33.76559418255135,-84.46386161721787,2026-01-08 18:53:00,2026-01-08 20:05:00,2026-01-08 21:35:00,2026-01-09 00:20:00,2026-01-08 23:00:00,23,workload_pressure,72.0,90.0,165.0,80.0,True,Moderate Delay,0.0,0.3333333333333333,1.0,11.64634336460015,27.95122407504036,5.9031403976092856,1.0,0.4111111111111111,Medium,Pickup/task start delay
PKG-100054,CR-117,Newark,Z1,delivery,40.730980131720266,-74.1481584816906,40.802271646068284,-74.22336173644429,2026-01-19 14:40:00,2026-01-19 15:20:00,2026-01-19 16:20:00,2026-01-19 20:29:00,2026-01-19 18:02:00,18,workload_pressure,40.0,60.0,249.0,147.0,True,Moderate Delay,0.0,0.6125,0.9,10.146554011999925,24.35172962879982,10.225146377508956,1.0,0.5310416666666666,High,Workload pressure
PKG-100055,CR-120,Memphis,Z2,pickup,35.13536321436605,-90.04972495664572,35.17551336591863,-90.06492763922982,2026-01-25 16:02:00,2026-01-25 17:57:00,2026-01-25 18:23:00,2026-01-25 20:24:00,2026-01-25 18:16:00,11,acceptance_delay,115.0,26.0,121.0,128.0,True,Moderate Delay,0.0,0.5333333333333333,0.55,4.673534499176598,11.216482798023835,10.787695410304401,1.0,0.44027777777777777,Medium,Courier acceptance delay
PKG-100056,CR-132,Memphis,Z5,pickup,35.1356196113279,-90.09898679337688,35.12738469746427,-90.00796909535111,2026-01-21 15:48:00,2026-01-21 16:01:00,2026-01-21 16:23:00,2026-01-21 17:24:00,2026-01-21 20:01:00,5,normal,13.0,22.0,61.0,0.0,False,On Time,0.0,0.0,0.25,8.32754808309796,19.986115399435104,3.0521188725711115,1.0,0.1375,Low,Route execution instability
PKG-100057,CR-131,Memphis,Z1,delivery,35.18306525201604,-90.07927997785707,35.07168791431457,-90.06372149003363,2026-01-08 09:29:00,2026-01-08 11:41:00,2026-01-08 14:07:00,2026-01-08 21:25:00,2026-01-08 12:32:00,12,severe_time_window_violation,132.0,146.0,438.0,533.0,True,Severe Delay,0.0,1.0,0.6,12.465161669477746,29.91638800674659,14.640804896006312,1.0,0.7899999999999999,Critical,Courier acceptance delay
PKG-100058,CR-132,Dallas,Z4,pickup,32.85353914121654,-96.83800305502797,32.78490241230087,-96.81562623788045,2026-01-30 17:32:00,2026-01-30 17:46:00,2026-01-30 18:00:00,2026-01-30 23:10:00,2026-01-30 21:50:00,10,execution_delay,14.0,14.0,310.0,80.0,True,Moderate Delay,0.0,0.3333333333333333,0.5,7.913324796079022,18.99197951058965,16.322679783176287,1.0,0.33611111111111114,Medium,Route execution instability
PKG-100059,CR-126,Dallas,Z5,pickup,32.82798791570969,-96.83174576267474,32.74446893596348,-96.78308996441373,2026-01-22 15:55:00,2026-01-22 16:17:00,2026-01-22 16:37:00,2026-01-22 18:06:00,2026-01-22 20:20:00,6,normal,22.0,20.0,89.0,0.0,False,On Time,0.0,0.0,0.3,10.340900851599269,24.818162043838246,3.5860834433586337,1.0,0.14500000000000002,Low,Route execution instability
PKG-100060,CR-134,Atlanta,Z4,pickup,33.80813626931745,-84.31107605898679,33.7072088870666,-84.40672466417126,2026-01-28 14:02:00,2026-01-28 14:22:00,2026-01-28 14:49:00,2026-01-28 16:22:00,2026-01-28 18:40:00,7,normal,20.0,27.0,93.0,0.0,False,On Time,0.0,0.0,0.35,14.287595141793714,34.290228340304914,2.712142919465115,1.0,0.1525,Low,Route execution instability
PKG-100061,CR-109,Atlanta,Z1,delivery,33.749366584021274,-84.37357113131047,33.808152050137956,-84.32812954015131,2026-01-15 09:33:00,2026-01-15 09:43:00,2026-01-15 10:16:00,,2026-01-15 12:55:00,5,event_inconsistency,10.0,33.0,,999.0,True,Severe Delay,1.0,1.0,0.25,7.769614390047732,18.647074536114555,1.0,0.5,0.8375,Critical,Event-data inconsistency
PKG-100062,CR-104,Atlanta,Z3,pickup,33.76872150408352,-84.40440266817828,33.68185045129272,-84.41542950576265,2026-01-22 16:24:00,2026-01-22 18:34:00,2026-01-22 20:45:00,2026-01-23 06:54:00,2026-01-22 20:15:00,16,severe_time_window_violation,130.0,131.0,609.0,639.0,True,Severe Delay,0.0,1.0,0.8,9.713301215759731,23.311922917823356,26.123971074663395,1.0,0.82,Critical,Courier acceptance delay
